name,evolution_info,types,abilities,HP,Atk,Def,Sp.Atk,Sp.Def,Spd,catch_rate,obtainability
Seadra,"Having evolved from Horsea as early as level 32, it will evolve into its final evolutionary stage in Kingdra when it is transacted in a trade while equipping a Dragon Scale.",['Water'],"['Poison Point', 'Sniper', 'Damp']",55,65,95,95,45,85,9.8%,['Wild']
Seaking,"It is the final stage of Goldeen's evolutionary line, having evolved from it as early as level 33.",['Water'],"['Swift Swim', 'Water Veil', 'Lightning Rod']",80,92,65,65,80,68,7.84%,['Wild']
Seel,It evolves into its only evolutionary outlet in Dewgong as early as level 34.,['Water'],"['Thick Fat', 'Hydration', 'Ice Body']",65,45,55,45,70,45,4.44%,['Wild']
Shellder,It evolves into its only evolutionary outlet in Cloyster when it is contactually exposed to a Water Stone.,['Water'],"['Shell Armor', 'Skill Link', 'Overcoat']",30,65,100,45,25,40,24.84%,['Wild']
Slowbro,"It is one of the final evolutionary outlets of Slowpoke, having evolved from it as early as level 37; the other one is Slowking, which evolves from Slowpoke when traded while holding a King's Rock. 
It can Mega Evolve into Mega Slowbro via exposure of the Slowbronite.","['Water', 'Psychic']","['Oblivious', 'Own Tempo', 'Regenerator']",95,75,110,100,80,30,9.8%,['Wild']
Slowpoke,"In its bi-evolutionary line, it evolves into either Slowbro as early as level 37 or Slowking when traded while holding a King's Rock.","['Water', 'Psychic']","['Oblivious', 'Own Tempo', 'Regenerator']",90,65,65,40,40,15,24.84%,"['Wild', 'NPCs']"
Snorlax,"Having evolved from Munchlax when leveled up with maximal happiness, it is the final stage in Munchlax's evolutionary line.",['Normal'],"['Immunity', 'Thick Fat', 'Gluttony']",160,110,65,65,110,30,3.27%,['Wild']
Spearow,It evolves into Fearow as early as level 20.,"['Normal', 'Flying']","['Keen Eye', 'Sniper']",40,60,30,31,31,70,33.33%,"['Wild', 'Headbutt Trees', 'NPCs']"
Squirtle,"It evolves into Wartortle at level 16, which then evolves into its final-stage form in Blastoise at level 36.",['Water'],"['Torrent', 'Rain Dish']",44,48,65,50,64,43,5.88%,"['Headbutt Trees', 'Surfing', 'NPCs']"
Starmie,It evolves from its only evolutionary outlet in Staryu when contactually exposed to a Water Stone.,"['Water', 'Psychic']","['Illuminate', 'Natural Cure', 'Analytic']",60,75,85,100,85,115,7.84%,"['Wild', 'Miscellaneously']"
Staryu,It evolves into its only evolutionary outlet in Starmie when contactually exposed to a Water Stone.,['Water'],"['Illuminate', 'Natural Cure', 'Analytic']",30,45,55,70,55,85,29.41%,"['Wild', 'Miscellaneously']"
Tangela,It evolves into its only evolutionary outlet in Tangrowth as soon as it is is leveled up while possessing the Ancient Power technique in its moveset.,['Grass'],"['Chlorophyll', 'Leaf Guard', 'Regenerator']",65,55,115,100,40,60,5.88%,['Wild']
Tauros,,['Normal'],"['Intimidate', 'Anger Point', 'Sheer Force']",75,100,95,40,70,110,5.88%,"['Wild', 'Headbutt Trees']"
Tentacool,It evolves into its only evolutionary outlet in Tentacruel as early as level 30.,"['Water', 'Poison']","['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,40,35,50,100,70,24.84%,"['Wild', 'NPCs']"
Tentacruel,"It is the only evolutionary outlet of Tentacool, having evolved from it as early as level 30.","['Water', 'Poison']","['Clear Body', 'Liquid Ooze', 'Rain Dish']",80,70,65,80,120,100,7.84%,['Wild']
Vaporeon,Vaporeon is a Water-type Pokémon and one of eight possible evolution based on Eevee. Having evolved from Eevee with the use of a Water Stone at any level.,['Water'],"['Water Absorb', 'Hydration']",130,65,60,110,95,65,5.88%,[]
Venomoth,"It is the only evolutionary outlet of Venonat, having evolved from it as early as level 31.","['Bug', 'Poison']","['Shield Dust', 'Tinted Lens', 'Wonder Skin']",70,65,60,90,75,90,9.8%,['Wild']
Venonat,It evolves into its only evolutionary outlet in Venomoth as early as level 31.,"['Bug', 'Poison']","['Compound Eyes', 'Tinted Lens', 'Run Away']",60,55,50,40,55,45,24.84%,['Wild']
Venusaur,"Venusaur is a Grass- and Poison-type Pokémon. Having evolved from Ivysaur at level 32, it is the final evolutionary stage of Bulbasaur.","['Grass', 'Poison']","['Overgrow', 'Chlorophyll']",80,82,83,100,100,80,5.88%,[]
Victreebel,"Having evolved from Weepinbell via contactual exposure to a Leaf Stone, it is the final stage of Bellsprout's evolutionary line.","['Grass', 'Poison']","['Chlorophyll', 'Gluttony']",80,105,65,100,60,70,5.88%,['Wild']
Vileplume,"Having evolved from Gloom via contactual exposure to a Leaf Stone, it is one of the final stages of Oddish's evolutionary line; the other one is Bellossom, which evolves from Gloom via contactual exposure to a Sun Stone.","['Grass', 'Poison']","['Chlorophyll', 'Effect Spore']",75,80,85,100,90,50,5.88%,['Wild']
Voltorb,It evolves into its only evolutionary outlet in Electrode as early as level 30.,['Electric'],"['Soundproof', 'Static', 'Aftermath']",40,30,50,55,55,100,24.84%,"['Wild', 'NPCs']"
Vulpix,"Alolan Vulpix is a Ice-type Pokémon. 
It evolves into Alolan Ninetales when contactually exposed to a Ice Stone, thereby reaching the final stage of its evolutionary line.",['Fire'],"['Flash Fire', 'Drought']",38,41,40,50,65,65,24.84%,[]
Wartortle,"Wartortle is a Water-type Pokémon. Having evolved from Squirtle at level 16, it evolves into Blastoise at level 36.",['Water'],"['Torrent', 'Rain Dish']",59,63,80,65,80,58,5.88%,[]
Weedle,"As a part of one of the earliest-evolvable level-designated evolutionary lines, Weedle into Kakuna at level 7; thereafter, it evolves into Beedrill at level 10.","['Bug', 'Poison']","['Shield Dust', 'Run Away']",40,35,30,20,20,50,33.33%,"['Wild', 'Headbutt Trees', 'NPCs']"
Weepinbell,"Having evolved from Bellsprout as early as level 21, it evolves into Victreebel when contactually exposed to a Leaf Stone, thereby reaching the final stage of its evolutionary line.","['Grass', 'Poison']","['Chlorophyll', 'Gluttony']",65,90,50,85,45,55,15.69%,['Wild']
Weezing,"It is the only evolutionary outlet of Koffing, having evolved from it as early as level 35.",['Poison'],['Levitate'],65,90,120,85,70,60,7.84%,['Wild']
Wigglytuff,"Having evolved from Jigglypuff when contactually exposed to a Moon Stone, it is the final stage of Igglybuff's evolutionary line.","['Normal', 'Fairy']","['Cute Charm', 'Competitive', 'Frisk']",140,70,45,75,50,45,6.54%,['Wild']
Zapdos,,"['Electric', 'Flying']","['Pressure', 'Static']",90,90,85,125,90,100,0.39%,[]
Zubat,"It evolves into Golbat as early as level 22; thereafter, it will evolve into Crobat when leveled up with maximal happiness, thereby reaching the final stage of its evolutionary line.","['Poison', 'Flying']","['Inner Focus', 'Infiltrator']",40,45,35,30,40,55,33.33%,"['Wild', 'Headbutt trees', 'NPCs']"
Aipom,It evolves into Ambipom when leveled up while knowing Double Hit.,['Normal'],"['Run Away', 'Pickup', 'Skill Link']",55,70,55,40,55,85,5.88%,"['Land', 'Headbutt Trees']"
Ampharos,"Ampharos is an Electric type Pokémon.
It evolves from Flaaffy starting at level 30.",['Electric'],"['Static', 'Plus']",90,75,75,115,90,55,5.88%,['Land']
Ariados,It evolves from Spinarak starting from level 22.,"['Bug', 'Poison']","['Swarm', 'Insomnia', 'Sniper']",70,90,70,60,60,40,11.76%,"['Land', 'Headbutt Trees']"
Azumarill,It evolves from Marill starting at level 18. It is the final evolutionary stage of Azurill.,"['Water', 'Fairy']","['Thick Fat', 'Huge Power', 'Sap Sipper']",100,50,80,50,80,50,9.8%,"['Land', 'Surfing']"
Baby XD001,,"['Shadow', 'Flying']","['Marvel Scale', 'Multiscale']",70,20,105,55,110,100,0.13%,[]
Bayleef,"This also generates a cross-contrasted leveling chart for Bayleef's evolutions in Chikorita and Meganium, thereby outputting how much more experience they would need to level up to reach the same level as Bulbasaur; this is helpful for those who want to know the exactitudes of how much experience they'll save by postponing evolutions, as evolved forms tend to require more experience to level up.",['Grass'],"['Overgrow', 'Leaf Guard']",60,62,80,63,80,60,5.88%,"['Wild', 'NPCs']"
Bellossom,"Having evolved from Gloom via contactual exposure to a Sun Stone, it is one of the final stages of Oddish's evolutionary line; the other one is Vileplume, which evolves from Gloom via contactual exposure to a Leaf Stone.",['Grass'],"['Chlorophyll', 'Healer']",75,80,85,90,100,50,5.88%,['Wild']
Blissey,"Having evolved from Chansey when leveled up with maximal happiness, it is the final stage in Happiny's evolutionary line.",['Normal'],"['Natural Cure', 'Serene Grace', 'Healer']",255,10,10,75,135,55,3.92%,[]
Celebi,,"['Grass', 'Psychic']",['Natural Cure'],100,100,100,100,100,100,5.88%,[]
Chikorita,"Chikorita is a Grass-type Pokémon. It evolves into Bayleef at level 16, which then evolves into its final-stage form in Meganium at level 32.",['Grass'],"['Overgrow', 'Leaf Guard']",45,49,65,49,65,45,5.88%,"['Wild', 'NPCs']"
Chinchou,It evolves into Lanturn upon reaching level 27.,"['Water', 'Electric']","['Volt Absorb', 'Illuminate', 'Water Absorb']",75,38,38,56,56,67,24.84%,"['Surfing', 'Fishing']"
Cleffa,"It evolves into Clefairy when leveled up with maximal happiness; thereafter, it will reach its final evolutionary outlet in Clefable when contactually exposed to a Moon Stone.",['Fairy'],"['Cute Charm', 'Magic Guard', 'Friend Guard']",50,25,28,45,55,15,19.61%,"['Wild', 'Headbutt Trees', 'Bosses', 'Daycare system']"
Corsola,,"['Water', 'Rock']","['Hustle', 'Natural Cure', 'Regenerator']",55,55,85,65,85,35,7.84%,"['Surfing', 'Fishing']"
Crobat,"Having evolved from Golbat when leveled up with maximal happiness, it is the final stage of Zubat's evolutionary line.","['Poison', 'Flying']","['Inner Focus', 'Infiltrator']",85,90,80,70,80,130,11.76%,"['Wild', 'Water', 'NPCs']"
Croconaw,It evolves from Totodile upon reaching level 18 and evolves into Feraligatr upon reaching level 30.,['Water'],"['Torrent', 'Sheer Force']",65,80,80,59,63,58,5.88%,[]
Cyndaquil,"Cyndaquil is a Fire Pokémon. It evolves into Quilava at level 14, which then evolves into its final-stage form in Typhlosion at level 36.",['Fire'],"['Blaze', 'Flash Fire']",39,52,43,60,50,65,5.88%,"['Wild', 'NPCs', 'Doctors Quest', 'Bosses']"
Delibird,,"['Ice', 'Flying']","['Vital Spirit', 'Hustle', 'Insomnia']",45,55,45,65,45,75,5.88%,"['Land', 'Headbutt Trees']"
Donphan,Donphan is a Ground type Pokémon. It evolves from Phanpy upon reaching level 25.,['Ground'],"['Sturdy', 'Sand Veil']",90,120,120,60,60,50,7.84%,['Land']
Dunsparce,,['Normal'],"['Serene Grace', 'Run Away', 'Rattled']",100,70,70,65,65,45,24.84%,['Land']
Elekid,"It evolves into Electabuzz upon reaching level 30, which then evolves into Electivire when traded holding an Electirizer.",['Electric'],"['Static', 'Vital Spirit']",45,63,37,65,55,95,5.88%,"['Land', 'Headbutt Trees', 'Bosses']"
Entei,,['Fire'],"['Pressure', 'Inner Focus']",115,115,85,90,75,100,0.39%,[]
Espeon,Espeon is a Psychic-type Pokémon and one of eight possible evolution based on Eevee. Having evolved from Eevee by a level up at day with the maximum ammount of happiness (255).,['Psychic'],"['Synchronize', 'Magic Bounce']",65,65,60,130,95,110,5.88%,['Wild']
Feraligatr,It evolves from Croconaw starting at level 30.,['Water'],"['Torrent', 'Sheer Force']",85,105,100,79,83,78,5.88%,"['Wild', 'NPCs']"
Flaaffy,It evolves from Mareep starting at level 15. It can then evolve into Ampharos starting at level 30,['Electric'],"['Static', 'Plus']",70,55,55,80,60,45,15.69%,['Land']
Forretress,It evolves from Pineco after reaching level 31.,"['Bug', 'Steel']","['Sturdy', 'Overcoat']",75,90,140,60,60,40,9.8%,[]
Furret,It evolves from Sentret starting at level 15.,['Normal'],"['Run Away', 'Keen Eye', 'Frisk']",85,76,64,45,55,90,11.76%,['Land']
Girafarig,,"['Normal', 'Psychic']","['Inner Focus', 'Early Bird', 'Sap Sipper']",70,80,65,90,65,85,7.84%,['Land']
Gligar,It evolves into Gliscor when leveled up at night while holding a Razor Fang.,"['Ground', 'Flying']","['Hyper Cutter', 'Sand Veil', 'Immunity']",65,75,105,35,65,85,7.84%,"['Land', 'Headbutt Trees', 'Bosses']"
Granbull,It evolves from Snubbull after reaching level 23.,['Fairy'],"['Intimidate', 'Quick Feet', 'Rattled']",90,120,75,60,60,45,9.8%,[]
Heracross,,"['Bug', 'Fighting']","['Swarm', 'Guts', 'Moxie']",80,125,75,40,95,85,5.88%,"['Land', 'Headbutt Trees', 'Bosses']"
Hitmontop,"It evolves from Tyrogue as early as level 20 when the total Defense is equal with its total Attack, otherwise it evolves into Hitmonlee when the Attack is higher than its Defense or into Hitmonchan when the Defense is higher than its Attack. Hitmontop is with all other possible evolutions of Tyrogue one of the final forms.",['Fighting'],"['Intimidate', 'Technician', 'Steadfast']",50,95,95,35,110,70,5.88%,['Miscellaneous']
Ho-Oh,,"['Fire', 'Flying']","['Pressure', 'Regenerator']",106,130,90,110,154,90,0.39%,[]
Hoothoot,It evolves into Noctowl as early as level 20.,"['Normal', 'Flying']","['Insomnia', 'Keen Eye', 'Tinted Lens']",60,30,30,36,56,50,33.33%,['Wild']
Hoppip,"It evolves into Skiploom upon reaching level 18, which then evolves into Jumpluff at level 27.","['Grass', 'Flying']","['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,35,40,35,55,50,33.33%,"['Land', 'Headbutt Trees', 'Surfing']"
Houndoom,"It is the evolved form of Houndour, which evolves when it reaches level 24.","['Dark', 'Fire']","['Early Bird', 'Flash Fire', 'Unnerve']",75,90,50,110,80,95,5.88%,[]
Houndour,It evolves into its only evolutionary outlet in Houndoom at level 24.,"['Dark', 'Fire']","['Early Bird', 'Flash Fire', 'Unnerve']",45,60,30,80,50,65,15.69%,['Land']
Igglybuff,"It evolves into Jigglypuff when leveled up with maximal happiness; thereafter, it will reach its final evolutionary outlet in Wigglytuff when contactually exposed to a Moon Stone.","['Normal', 'Fairy']","['Cute Charm', 'Competitive', 'Friend Guard']",90,30,15,40,20,15,22.22%,"['Wild', 'Headbutt Trees', 'NPCs']"
Jumpluff,It evolves from Skiploom starting at level 27.,"['Grass', 'Flying']","['Chlorophyll', 'Leaf Guard', 'Infiltrator']",75,55,70,55,85,110,5.88%,['Land']
Kingdra,"Having evolved from Seadra whenever consummated in a trade while holding a Dragon Scale, it is the final stage of Horsea's evolutionary line.","['Water', 'Dragon']","['Swift Swim', 'Sniper', 'Damp']",75,95,95,95,95,85,5.88%,"['Wild', 'Miscellaneous']"
Lanturn,It evolves from Chinchou starting at level 27.,"['Water', 'Electric']","['Volt Absorb', 'Illuminate', 'Water Absorb']",125,58,58,76,76,67,9.8%,['Surfing']
Larvitar,"Larvitar is a Ground- and Rock-type Pokémon. It evolves into Pupitar at level 30, which then evolves into its final-stage form in Tyranitar at level 55.","['Rock', 'Ground']","['Guts', 'Sand Veil']",50,64,50,45,50,41,5.88%,"['Wild', 'Headbutt Trees', 'Diggable Patches', 'Excavation']"
Ledian,It evolves from Ledyba starting at level 18.,"['Bug', 'Flying']","['Swarm', 'Early Bird', 'Iron Fist']",55,35,50,55,110,85,11.76%,"['Land', 'Headbutt Trees']"
Ledyba,It evolves into Ledian upon reaching level 18.,"['Bug', 'Flying']","['Swarm', 'Early Bird', 'Rattled']",40,20,30,40,80,55,33.33%,"['Land', 'Headbutt Trees']"
Lugia,,"['Psychic', 'Flying']","['Pressure', 'Multiscale']",106,90,130,90,154,110,0.39%,[]
Magby,"It evolves into Magmar as early as level 30; thereafter, it will evolve into Magmortar when involved in any trade transaction while holding a Magmarizer, thereby reaching the final stage of its evolutionary line.",['Fire'],"['Flame Body', 'Vital Spirit']",45,75,37,70,55,83,5.88%,"['Wild', 'Headbutt Trees', 'Bosses']"
Magcargo,It evolves from Slugma starting at level 38.,"['Fire', 'Rock']","['Magma Armor', 'Flame Body', 'Weak Armor']",50,50,120,80,80,30,9.8%,['Land']
Mantine,Having evolved from Mantyke when leveled up with a Remoraid in your party.,"['Water', 'Flying']","['Swift Swim', 'Water Absorb', 'Water Veil']",65,40,70,80,140,70,3.27%,['Surfing']
Mareep,"It evolves into Flaaffy upon reaching level 15, which then evolves into Ampharos when it reaches level 30.",['Electric'],"['Static', 'Plus']",55,40,40,65,45,35,30.72%,['Land']
Marill,It evolves from Azurill when leveled up with max happiness(255). It evolves into Azumarill by level-up starting at level 18.,"['Water', 'Fairy']","['Thick Fat', 'Huge Power', 'Sap Sipper']",70,20,50,20,50,40,24.84%,"['Land', 'Surf', 'Fishing', 'Excavation', 'Bosses']"
Meganium,Meganium is a Grass-type Pokémon. Having evolved from Bayleef at level 32.,['Grass'],"['Overgrow', 'Leaf Guard']",80,82,100,83,100,80,5.88%,"['Wild', 'NPCs']"
Miltank,,['Normal'],"['Thick Fat', 'Scrappy', 'Sap Sipper']",95,80,105,40,70,100,5.88%,"['Land', 'Bosses']"
Misdreavus,It evolves into Mismagius when exposed to a Dusk Stone.,['Ghost'],['Levitate'],60,60,60,85,85,85,5.88%,"['Land', 'Headbutt Trees']"
Murkrow,It evolves into Honchkrow when exposed to a Dusk Stone.,"['Dark', 'Flying']","['Insomnia', 'Super Luck', 'Prankster']",60,85,42,85,42,91,3.92%,"['Land', 'Headbutt Trees']"
Natu,It evolves into Xatu upon reaching level 25.,"['Psychic', 'Flying']","['Synchronize', 'Early Bird', 'Magic Bounce']",40,50,45,70,45,70,24.84%,"['Land', 'Headbutt Trees']"
Noctowl,It evolves from Hoothoot starting at level 20.,"['Normal', 'Flying']","['Insomnia', 'Keen Eye', 'Tinted Lens']",100,50,50,76,96,70,11.76%,"['Land', 'Headbutt Trees']"
Octillery,It evolves from Remoraid starting at level 25.,['Water'],"['Suction Cups', 'Sniper', 'Moody']",75,105,75,105,75,45,9.8%,['Surfing']
Phanpy,It evolves into Donphan upon reaching level 25.,['Ground'],"['Pickup', 'Sand Veil']",90,60,60,40,40,40,15.69%,"['Land', 'Diggable Patches', 'Excavation', 'Bosses']"
Pichu,"It evolves into Pikachu when leveled up with maximal happiness; thereafter, it will reach its final evolutionary outlet in Raichu when contactually exposed to a Thunder Stone.",['Electric'],"['Static', 'Lightning Rod']",20,40,15,35,35,60,24.84%,"['Wild', 'Headbutt Trees', 'NPCs']"
Piloswine,It evolves from Swinub starting at level 33. It then evolves to Mamoswine once the move Ancient Power has been learned.,"['Ice', 'Ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",100,100,80,60,60,50,9.8%,['Land']
Pineco,It evolves into Forretress upon reaching level 31.,['Bug'],"['Sturdy', 'Overcoat']",50,65,90,35,35,15,24.84%,"['Land', 'Headbutt Trees']"
Politoed,"Having evolved from Poliwhirl when traded with a King's Rock, it is one of the final evolutionary stages of Poliwag in its bievolutionary line; the other one is Poliwrath, which also evolves from Poliwhirl when contactually exposed to a Water Stone.",['Water'],"['Water Absorb', 'Damp', 'Drizzle']",90,75,75,90,100,70,5.88%,['Wild']
Porygon2,"It is the evolved form of Porygon, which evolves by trading a Porygon while it holds an Up-Grade. It then evolves into Porygon-Z when traded while holding a Dubious Disc.",['Normal'],"['Trace', 'Download', 'Analytic']",85,80,90,105,95,60,5.88%,[]
Pupitar,"Pupitar is a Ground and Rock-type Pokémon. It evolves from Larvitar at level 30, and then evolves into its final-evolution form, Tyranitar at level 55.","['Rock', 'Ground']",['Shed Skin'],70,84,70,65,70,51,5.88%,"['Wild', 'Diggable Patches']"
Quagsire,It evolves from Wooper starting at level 20.,"['Water', 'Ground']","['Damp', 'Water Absorb', 'Unaware']",95,85,85,65,65,35,11.76%,"['Land', 'Surfing']"
Quilava,It evolves from Cyndaquil upon reaching level 14 and evolves into Typhlosion upon reaching level 36.,['Fire'],"['Blaze', 'Flash Fire']",58,64,58,80,65,80,5.88%,[]
Qwilfish,,"['Water', 'Poison']","['Poison Point', 'Swift Swim', 'Intimidate']",65,95,75,55,55,85,5.88%,"['Surfing', 'Fishing']"
Raikou,,['Electric'],"['Pressure', 'Inner Focus']",90,85,75,115,100,115,0.39%,[]
Remoraid,It evolves into Octillery upon reaching level 25.,['Water'],"['Hustle', 'Sniper', 'Moody']",35,65,35,65,35,65,24.84%,"['Surfing', 'Fishing']"
Scizor,"Scizor is a Bug and Steel type Pokémon.
It evolves from Scyther when traded while holding a Metal Coat.","['Bug', 'Steel']","['Swarm', 'Technician', 'Light Metal']",70,130,100,55,80,65,3.27%,[]
Sentret,It evolves into Furret as early as level 15.,['Normal'],"['Run Away', 'Keen Eye', 'Frisk']",35,46,34,35,45,20,33.33%,"['Wild', 'Headbutt Trees']"
Shuckle,,"['Bug', 'Rock']","['Sturdy', 'Gluttony', 'Contrary']",20,10,230,10,230,5,24.84%,"['Land', 'Surfing', 'Bosses']"
Skarmory,,"['Steel', 'Flying']","['Keen Eye', 'Sturdy', 'Weak Armor']",65,80,140,40,70,70,3.27%,"['Land', 'Bosses']"
Skiploom,It evolves from Hoppip starting at level 18. It then evolves to Jumpluff at level 27.,"['Grass', 'Flying']","['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,45,50,45,65,80,15.69%,['Land']
Slowking,"It is one of the final evolutionary outlets of Slowpoke, having evolved from it during any trade transaction whereby it holds a King's Rock; the other one is Slowbro, which evolves from Slowpoke as early as level 37.","['Water', 'Psychic']","['Oblivious', 'Own Tempo', 'Regenerator']",95,75,80,100,110,30,9.15%,['Wild']
Slugma,It evolves into Magcargo upon reaching level 38.,['Fire'],"['Magma Armor', 'Flame Body', 'Weak Armor']",40,40,40,70,40,20,24.84%,['Land']
Smeargle,,['Normal'],"['Own Tempo', 'Technician', 'Moody']",55,20,35,20,45,75,5.88%,['Land']
Smoochum,It evolves into Jynx upon reaching level 30.,"['Ice', 'Psychic']","['Oblivious', 'Forewarn', 'Hydration']",45,30,15,85,65,65,5.88%,"['Land', 'Headbutt Trees', 'Bosses']"
Sneasel,It evolves into Weavile when leveled up at night while holding a Razor Claw.,"['Dark', 'Ice']","['Inner Focus', 'Keen Eye', 'Pickpocket']",55,95,55,35,75,115,7.84%,"['Land', 'Headbutt Trees', 'Bosses']"
Snubbull,It evolves into Granbull upon reaching level 23.,['Fairy'],"['Intimidate', 'Run Away', 'Rattled']",60,80,50,40,40,30,24.84%,"['Land', 'Headbutt Trees']"
Spinarak,It evolves into Ariados upon reaching level 22.,"['Bug', 'Poison']","['Swarm', 'Insomnia', 'Sniper']",40,60,40,40,40,30,33.33%,"['Land', 'Headbutt Trees', 'Bosses']"
Stantler,,['Normal'],"['Intimidate', 'Frisk', 'Sap Sipper']",73,95,62,85,65,85,5.88%,['Land']
Steelix,"It evolves from Onix when consummated in any trade transaction while holding a Metal Coat, thereby reaching the final stage of its evolutionary line.","['Steel', 'Ground']","['Rock Head', 'Sturdy', 'Sheer Force']",75,85,200,55,65,30,3.27%,['Wild']
Sudowoodo,It evolves from Bonsly after having learned the move Mimic.,['Rock'],"['Sturdy', 'Rock Head', 'Rattled']",70,100,115,30,65,30,8.5%,"['Land', 'Route 36']"
Suicune,,['Water'],"['Pressure', 'Inner Focus']",100,75,115,90,115,85,0.39%,[]
Sunflora,It evolves from Sunkern once exposed to a Sun Stone.,['Grass'],"['Chlorophyll', 'Solar Power', 'Early Bird']",75,75,55,105,85,30,15.69%,[]
Sunkern,It evolves into Sunflora when exposed to a Sun Stone.,['Grass'],"['Chlorophyll', 'Solar Power', 'Early Bird']",30,30,30,30,30,30,30.72%,"['Land', 'Headbutt Trees']"
Swinub,It evolves into Piloswine upon reaching level 33.,"['Ice', 'Ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",50,50,40,30,30,50,29.41%,"['Land', 'Headbutt Trees', 'Excavation', 'Bosses']"
Teddiursa,It evolves into Ursaring upon reaching level 30.,['Normal'],"['Pickup', 'Quick Feet', 'Honey Gather']",60,80,50,50,50,40,15.69%,"['Land', 'Headbutt Trees']"
Togepi,"Togepi is a Fairy type Pokémon. It evolves into Togetic when leveled up with max happiness(255), which then evolves into Togekiss when exposed to a Shiny Stone.",['Fairy'],"['Hustle', 'Serene Grace', 'Super Luck']",35,20,65,40,65,20,24.84%,"['Wild', 'Headbutt Trees', 'Bosses']"
Togetic,,"['Fairy', 'Flying']","['Hustle', 'Serene Grace', 'Super Luck']",55,40,85,80,105,40,9.8%,['Land']
Totodile,"It evolves into Croconaw at level 18, which then evolves into its final-stage form in Feraligatr at level 30.",['Water'],"['Torrent', 'Sheer Force']",50,65,64,44,48,43,5.88%,"['Wild', 'Headbutt Trees', 'NPCs']"
Typhlosion,It evolves from Quilava starting at level 36.,['Fire'],"['Blaze', 'Flash Fire']",78,84,78,109,85,100,5.88%,"['Wild', 'NPCs']"
Tyranitar,"Tyranitar is a Rock and Dark-type Pokémon. It evolves from Pupitar starting at level 55. 
It can Mega evolve into Mega Tyranitar via exposure to the Tyranitarite.","['Rock', 'Dark']","['Sand Stream', 'Unnerve']",100,134,110,95,100,61,5.88%,['World Quest']
Tyrogue,It evolves into one of three possible evolutions as early as level 20:,['Fighting'],"['Guts', 'Steadfast', 'Vital Spirit']",35,35,35,35,35,35,9.8%,"['Wild', 'Miscellaneous']"
Umbreon,Umbreon is a Dark-type Pokémon and one of eight possible evolution based on Eevee. Having evolved from Eevee by a level up at night with the maximum ammount of happiness (255).,['Dark'],"['Synchronize', 'Inner Focus']",95,65,110,60,130,65,5.88%,['Wild']
Unown,,['Psychic'],['Levitate'],48,72,48,72,48,48,29.41%,['Land']
Ursaring,It evolves from Teddiursa starting at level 30.,['Normal'],"['Guts', 'Quick Feet', 'Unnerve']",90,130,75,75,75,55,7.84%,"['Land', 'Headbutt Trees']"
Wobbuffet,It evolves from Wynaut starting at level 15.,['Psychic'],"['Shadow Tag', 'Telepathy']",190,33,58,33,58,33,5.88%,['Land']
Wooper,It evolves into Quagsire upon reaching level 20.,"['Water', 'Ground']","['Damp', 'Water Absorb', 'Unaware']",55,45,45,25,25,15,33.33%,"['Land', 'Surfing', 'Fishing']"
Xatu,It evolves from Natu starting at level 25.,"['Psychic', 'Flying']","['Synchronize', 'Early Bird', 'Magic Bounce']",65,75,70,95,70,95,9.8%,[]
Yanma,,"['Bug', 'Flying']","['Speed Boost', 'Compound Eyes', 'Frisk']",65,65,45,75,45,95,9.8%,"['Land', 'Headbutt Trees']"
Absol,,['Dark'],"['Pressure', 'Super Luck', 'Justified']",65,130,60,75,60,75,3.92%,"['Land', 'Bosses', 'Excavation']"
Aggron,"Aggron is a Steel and Rock type Pokémon. 
Its type changes to pure Steel when its mega evolved. 

It evolves from Lairon upon reaching level 42. It is the final evolution of Aron. It can  Mega Evolve into Mega Aggron via the exposure of Aggronite.","['Steel', 'Rock']","['Sturdy', 'Rock Head', 'Heavy Metal']",70,110,180,60,60,50,5.88%,"['Level Up', 'Egg Moves', 'TMs', 'TM Tutors', 'Move Tutors']"
Altaria,Altaria is a Dragon and Flying-type Pokémon. Having evolved from Swablu at level 35.,"['Dragon', 'Flying']","['Natural Cure', 'Cloud Nine']",75,70,90,70,105,80,5.88%,['Wild']
Anorith,It evolves into Armaldo upon reaching level 40.,"['Rock', 'Bug']","['Battle Armor', 'Swift Swim']",45,95,50,40,50,75,5.88%,"['Land', 'Bosses', 'Claw Fossil']"
Armaldo,Armaldo is a Rock and Bug-type Pokémon. Having evolved from Anorith at level 40.,"['Rock', 'Bug']","['Battle Armor', 'Swift Swim']",75,125,100,70,80,45,5.88%,[]
Aron,It evolves into Lairon upon reaching level 32 and then into Aggron upon reaching level 42.,"['Steel', 'Rock']","['Sturdy', 'Rock Head', 'Heavy Metal']",50,70,100,40,40,30,23.53%,"['Land', 'Excavation', 'Diggable Patches', 'Bosses', 'Abandoned Pokéball']"
Azurill,"It evolves into Marill when leveled up with max happiness(255), which then evolves into Azumarill starting at level 18.","['Normal', 'Fairy']","['Thick Fat', 'Huge Power', 'Sap Sipper']",50,20,40,20,40,20,19.61%,"['Land', 'Surfing']"
